symbol,ask,bid,previousClose,open,dividendYield,dividendPerShare,dividendPayDate,exDividendDate,tradeDate,lastTradeDate,lastTradeTime,earningPerShare,EPSEstimateCurrentYear,EPSEstimateNextYear,EPSEstimateNextQuarter,bookValue,EBITDA,priceSale,priceBook,pe,peg,peCurrentYear,peNextYear,shortRatio,revenue,holdingsValue,dayValueChange,holdingGainPercent,annualizedGain,holdingsGain,askSize,bidSize,lastTradeSize,averageDailyVolume,marketCapitalization,floatShares,name,sharesOwned,stockExchange,sharesOutstanding,commission,oneYearTargetPrice,
"ABY",18.91,18.90,19.64,19.53,7.44,1.60,"9/15/2015","8/26/2015",N/A,"9/10/2015","4:00pm",0.29,1.25,2.08,-0.11,22.79,357.62M,3.89,0.86,64.54,0.00,15.13,9.09,6.14,505.81M,N/A,N/A,N/A,N/A,N/A,2100,100,21575,1011420,1.90B,50970000,"Abengoa Yield plc",N/A,"NMS",100217000,N/A,34.07
"ABGB",6.97,4.87,5.69,5.89,12.74,0.61,"4/24/2015","4/14/2015",N/A,"9/10/2015","4:00pm",0.08,1.07,0.75,0.00,1.03,1.56B,1.21,5.50,72.68,-1.88,5.57,7.95,1.68,8.27B,N/A,N/A,N/A,N/A,N/A,100,100,293,100361,10.49B,1020381000,"Abengoa, S.A.",N/A,"NMS",1760825000,N/A,10.02
"ABEO",6.00,4.00,5.02,5.03,N/A,N/A,N/A,"3/31/2000",N/A,"9/10/2015","3:59pm",-4.42,-0.39,-0.54,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,2400,1000,289,456462,N/A,N/A,N/A,N/A,"NCM",N/A,N/A,15.33
"ABEOW",2.48,1.76,2.00,1.73,N/A,N/A,N/A,N/A,N/A,"9/10/2015","12:19pm",N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,1000,200,205,N/A,N/A,N/A,N/A,N/A,"NCM",N/A,N/A,N/A
"ABMD",95.65,95.08,94.17,93.68,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",2.82,0.75,1.10,0.19,7.39,49.81M,15.40,12.75,33.78,7.11,127.16,86.70,2.39,254.93M,N/A,N/A,N/A,N/A,N/A,100,100,6714,742570,3.98B,35703000,"ABIOMED, Inc.",N/A,"NMS",41695000,N/A,103.67
"AXAS",1.73,1.55,1.60,1.60,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",0.46,-0.05,0.10,-0.02,1.94,97.82M,1.48,0.83,3.48,-1.75,N/A,16.00,4.47,112.67M,N/A,N/A,N/A,N/A,N/A,2000,1200,38362,1159070,167.07M,95103000,"Abraxas Petroleum Corporation",N/A,"NCM",104420000,N/A,2.89
"ACTG",10.26,7.87,9.17,9.13,5.42,0.50,"8/31/2015","8/3/2015",N/A,"9/10/2015","4:00pm",-0.93,0.70,0.91,0.26,9.05,16.07M,3.26,1.01,N/A,0.65,13.14,10.11,16.12,142.77M,N/A,N/A,N/A,N/A,N/A,14400,1500,8132,463331,466.81M,49768000,"Acacia Research Corporation",N/A,"NMS",50740000,N/A,17.25
"ACHC",78.70,74.18,74.88,75.01,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",1.53,2.18,2.71,0.59,23.60,300.87M,3.81,3.17,48.79,1.26,34.36,27.64,5.17,1.41B,N/A,N/A,N/A,N/A,N/A,100,100,15150,807169,5.37B,59734000,"Acadia Healthcare Company, Inc.",N/A,"NMS",71637000,N/A,93.29
"ACAD",42.98,40.41,40.23,40.31,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-1.34,-1.52,-1.31,-0.36,2.55,-124.07M,60473.50,15.81,N/A,-1.29,N/A,N/A,9.84,67000.00,N/A,N/A,N/A,N/A,N/A,200,200,23193,1185730,4.15B,79932000,"ACADIA Pharmaceuticals Inc.",N/A,"NMS",100714000,N/A,48.00
"ACST",0.41,N/A,0.32,0.32,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:57pm",-0.03,-0.11,-0.14,0.00,0.23,-7.29M,206.21,1.40,N/A,0.00,N/A,N/A,1.26,165182.00,N/A,N/A,N/A,N/A,N/A,5000,N/A,100,81423,34.12M,50937000,"Acasti Pharma, Inc.",N/A,"NCM",106613000,N/A,2.75
"AXDX",N/A,16.70,17.05,17.02,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.87,-1.12,-1.76,-0.35,1.10,-38.13M,5957.11,15.44,N/A,0.00,N/A,N/A,19.56,128000.00,N/A,N/A,N/A,N/A,N/A,N/A,200,2665,179227,790.24M,20939000,"Accelerate Diagnostics, Inc.",N/A,"NCM",44722000,N/A,28.00
