symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
MLP,2013-06-30,False,Q2,2013,10-Q,3107000.0,-953000.0,831000.0,-0.08,-0.08,0.0,57482000.0,4245000.0,57590000.0,469000.0,-34703000.0,-3057000.0,3701000.0,-1004000.0
MLP,2012-12-31,False,FY,2012,10-K,16164000.0,-2393000.0,-4602000.0,-0.27,-0.27,0.0,61485000.0,4916000.0,14685000.0,829000.0,-34363000.0,-3773000.0,102000.0,3610000.0
DOOR,2013-09-29,False,Q3,2013,10-Q,433051000.0,6318000.0,3615000.0,0.13,0.12,0.0,1630934000.0,679678000.0,252493000.0,113172000.0,827269000.0,29847000.0,-34484000.0,-3017000.0
MA,2013-06-30,False,Q2,2013,10-Q,2096000000.0,1228000000.0,848000000.0,6.98,6.96,0.0,12021000000.0,8962000000.0,4327000000.0,2348000000.0,7029000000.0,1614000000.0,118000000.0,-1421000000.0
MA,2013-09-30,False,Q3,2013,10-Q,2218000000.0,1248000000.0,879000000.0,7.3,7.27,0.0,13730000000.0,10559000000.0,5420000000.0,3413000000.0,7668000000.0,2936000000.0,235000000.0,-1837000000.0
MTZ,2013-09-30,False,Q3,2013,10-Q,1269385000.0,,46138000.0,0.6,0.54,0.0,2954338000.0,1332316000.0,882229000.0,2848000.0,979087000.0,124991000.0,-253050000.0,104258000.0
MTZ,2013-03-31,False,Q1,2013,10-Q,918648000.0,,18370000.0,0.24,0.22,0.0,2540866000.0,1145749000.0,691729000.0,109247000.0,885655000.0,31816000.0,-32096000.0,83682000.0
MTZ,2013-06-30,False,Q2,2013,10-Q,977624000.0,,34941000.0,0.46,0.41,0.0,2820906000.0,1272242000.0,798608000.0,13295000.0,920313000.0,14567000.0,-180865000.0,153410000.0
MCD,2013-03-31,False,Q1,2013,10-Q,6605300000.0,1949500000.0,1270200000.0,1.27,1.26,0.77,34123800000.0,4191200000.0,3017100000.0,1869300000.0,15228200000.0,1686900000.0,-524500000.0,-1568900000.0
MCD,2013-06-30,False,Q2,2013,10-Q,7083800000.0,2197700000.0,1396500000.0,1.39,1.38,0.77,34453400000.0,4632100000.0,2805000000.0,2278400000.0,15170700000.0,1509800000.0,-556100000.0,-525000000.0
MDR,2013-06-30,False,Q2,2013,10-Q,647250000.0,-149536000.0,-149423000.0,-0.63,-0.63,0.0,3195947000.0,1509313000.0,1159546000.0,427711000.0,1765899000.0,-96482000.0,-96718000.0,-19354000.0
MDU,2013-03-31,False,Q1,2013,10-Q,931604000.0,104531000.0,56344000.0,0.3,0.3,0.1725,6828182000.0,1149234000.0,917183000.0,74149000.0,2674982000.0,136874000.0,-170813000.0,59021000.0
MDR,2013-03-31,False,Q1,2013,10-Q,807488000.0,53033000.0,20553000.0,0.09,0.09,0.0,3181018000.0,1587344000.0,971095000.0,461535000.0,1966888000.0,-187115000.0,16999000.0,-8709000.0
MUX,2013-03-31,False,Q1,2013,10-Q,13261000.0,-18367000.0,-10982000.0,-0.04,-0.04,0.0,1124963000.0,66680000.0,13917000.0,45122000.0,882387000.0,-24994000.0,-325000.0,34000.0
MCD,2013-09-30,False,Q3,2013,10-Q,7323400000.0,2416700000.0,1522200000.0,1.53,1.52,1.58,35551300000.0,4734100000.0,3822300000.0,2544300000.0,15164900000.0,2050500000.0,-585600000.0,-1301600000.0
MUX,2013-06-30,False,Q2,2013,10-Q,8908000.0,-139654000.0,-128681000.0,-0.43,-0.43,0.0,982371000.0,57804000.0,12005000.0,34773000.0,754075000.0,-35185000.0,135000.0,95000.0
MDU,2013-06-30,False,Q2,2013,10-Q,1060595000.0,91378000.0,46341000.0,0.25,0.24,0.1725,7091671000.0,1292247000.0,865889000.0,114971000.0,2694642000.0,233926000.0,-410539000.0,242673000.0
MCD,2012-12-31,False,FY,2012,10-K,27567000000.0,8604600000.0,5464800000.0,5.41,5.36,2.87,35386500000.0,4922100000.0,3403100000.0,2336100000.0,15293600000.0,6966100000.0,-3167300000.0,-3849800000.0
MDR,2012-12-31,False,FY,2012,10-K,3641624000.0,319327000.0,206653000.0,0.88,0.87,0.0,3333627000.0,1789789000.0,1113011000.0,640147000.0,1952105000.0,209784000.0,-128252000.0,-13793000.0
MDU,2013-09-30,False,Q3,2013,10-Q,1285782000.0,149873000.0,84285000.0,0.45,0.44,0.1725,7167108000.0,1254970000.0,845807000.0,66174000.0,2750490000.0,428962000.0,-605366000.0,193678000.0
MJN,2013-03-31,False,Q1,2013,10-Q,1037900000.0,,172100000.0,0.85,0.85,0.34,3275500000.0,2055900000.0,1316900000.0,1017200000.0,88700000.0,207900000.0,-77400000.0,-154100000.0
MJN,2013-09-30,False,Q3,2013,10-Q,1046800000.0,,161300000.0,0.8,0.79,0.34,3355700000.0,2080700000.0,1230400000.0,985200000.0,220100000.0,592000000.0,-178000000.0,-462300000.0
MJN,2013-06-30,False,Q2,2013,10-Q,1055300000.0,,161900000.0,0.8,0.8,0.34,3278800000.0,2045500000.0,1242600000.0,1003900000.0,158200000.0,399800000.0,-116700000.0,-310200000.0
MCK,2012-12-31,False,Q3,2013,10-Q,31187000000.0,485000000.0,298000000.0,1.27,1.24,0.2,33433000000.0,23439000000.0,20208000000.0,2726000000.0,7649000000.0,276000000.0,-784000000.0,82000000.0
MDU,2012-12-31,False,FY,2012,10-K,4075431000.0,19207000.0,-1439000.0,-0.01,-0.01,0.675,6682491000.0,1128081000.0,850115000.0,49042000.0,2648248000.0,584740000.0,-887952000.0,189628000.0
MJN,2012-12-31,False,FY,2012,10-K,3901300000.0,,603100000.0,2.96,2.95,1.2,3258200000.0,2015000000.0,1369900000.0,1042100000.0,29000000.0,692700000.0,-228800000.0,-267500000.0
MUX,2012-12-31,False,FY,2012,10-K,26801000.0,-91405000.0,-66654000.0,0.26,-0.26,0.0,1150937000.0,91918000.0,25195000.0,70921000.0,889591000.0,-71506000.0,65073000.0,64304000.0
MCK,2013-03-31,False,FY,2013,10-K,122455000000.0,2315000000.0,1338000000.0,5.71,5.59,0.8,34786000000.0,23170000000.0,21357000000.0,2456000000.0,7070000000.0,2483000000.0,-2209000000.0,-956000000.0
MUX,2013-09-30,False,Q3,2013,10-Q,13818000.0,-8845000.0,3264000.0,0.01,0.01,0.0,973251000.0,50920000.0,11392000.0,31062000.0,757697000.0,-36800000.0,-2411000.0,171000.0
