symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
CCRN,2011-06-30,False,Q2,2011,10-Q,126042000.0,2602000.0,1573000.0,0.05,0.05,0.0,345878000.0,108277000.0,41438000.0,16009000.0,249276000.0,11376000.0,-2290000.0,-4071000.0
CCRN,2011-09-30,False,Q3,2011,10-Q,131169000.0,4155000.0,1786000.0,0.06,0.06,0.0,345944000.0,110479000.0,44733000.0,14305000.0,251100000.0,14630000.0,-3146000.0,-8081000.0
CROX,2011-06-30,False,Q2,2011,10-Q,295585000.0,64774000.0,55506000.0,0.62,0.61,0.0,683514000.0,513955000.0,172125000.0,179979000.0,469005000.0,43881000.0,-21401000.0,7234000.0
CROX,2011-09-30,False,Q3,2011,10-Q,274897000.0,37068000.0,30207000.0,0.34,0.33,0.0,704254000.0,534538000.0,171759000.0,220388000.0,490249000.0,93361000.0,-32891000.0,8423000.0
CREE,2010-09-26,False,Q1,2011,10-Q,268437000.0,73417000.0,58036000.0,0.54,0.53,0.0,2288377000.0,1406525000.0,131959000.0,412583000.0,2100612000.0,88518000.0,-83202000.0,9664000.0
CREE,2010-12-26,False,Q2,2011,10-Q,256983000.0,55412000.0,49775000.0,0.46,0.45,0.0,2383611000.0,1453228000.0,134928000.0,465557000.0,2188816000.0,145756000.0,-117122000.0,39254000.0
CREE,2011-03-27,False,Q3,2011,10-Q,219168000.0,19678000.0,18881000.0,0.17,0.17,0.0,2408394000.0,1440920000.0,123142000.0,410413000.0,2222031000.0,186922000.0,-218128000.0,43768000.0
CREE,2011-06-26,False,FY,2011,10-K,987615000.0,168706000.0,146500000.0,1.35,1.33,0.0,2446722000.0,1456895000.0,140316000.0,390598000.0,2261564000.0,251380000.0,-303234000.0,44546000.0
CREE,2011-09-25,False,Q1,2012,10-Q,268980000.0,13387000.0,12819000.0,0.11,0.11,0.0,2697332000.0,1080672000.0,152378000.0,139173000.0,2498037000.0,41645000.0,-295893000.0,2355000.0
CACC,2011-06-30,False,Q2,2011,10-Q,129965000.0,,44844000.0,1.73,1.72,0.0,1581655000.0,,,5690000.0,441911000.0,139959000.0,-259969000.0,121908000.0
CACC,2011-09-30,False,Q3,2011,10-Q,133739000.0,,49960000.0,1.92,1.91,0.0,1670652000.0,,,3634000.0,493270000.0,202357000.0,-358031000.0,155516000.0
CRAY,2011-06-30,False,Q2,2011,10-Q,67920000.0,-2918000.0,-2958000.0,,,0.0,244852000.0,210339000.0,88166000.0,131827000.0,141508000.0,75527000.0,-2141000.0,738000.0
CRAY,2011-09-30,False,Q3,2011,10-Q,36705000.0,-12278000.0,-12232000.0,,,0.0,255512000.0,220457000.0,109853000.0,88265000.0,133770000.0,33641000.0,-3611000.0,836000.0
CVBF,2011-03-31,False,Q1,2011,10-Q,76490000.0,,16534000.0,0.16,0.16,0.085,6498352000.0,,,348773000.0,654604000.0,5757000.0,-5710000.0,-5262000.0
CVBF,2011-06-30,False,Q2,2011,10-Q,77176000.0,,20956000.0,0.2,0.2,0.085,6460193000.0,,,102600000.0,683685000.0,12451000.0,79082000.0,-38733000.0
CVBF,2011-09-30,False,Q3,2011,10-Q,76044000.0,,22302000.0,0.21,0.21,0.085,6529907000.0,,,33493000.0,699875000.0,51910000.0,17068000.0,-30311000.0
CVV,2011-06-30,False,Q2,2011,10-Q,7507717.0,1201637.0,778440.0,0.15,0.14,0.0,39964462.0,31660216.0,9577603.0,21714398.0,27265695.0,6540485.0,-100066.0,9024889.0
CVV,2011-09-30,False,Q3,2011,10-Q,8844094.0,1388147.0,1238550.0,0.21,0.2,0.0,37392864.0,27842949.0,6038005.0,18618430.0,28649942.0,4883761.0,-1541303.0,9026882.0
CRIS,2011-09-30,False,Q3,2011,10-Q,147122.0,-4816335.0,-4206555.0,-0.05,-0.05,0.0,38868106.0,29171743.0,3480235.0,11884253.0,32406809.0,-13251393.0,15828040.0,1481057.0
CRIS,2011-06-30,False,Q2,2011,10-Q,392867.0,-4618965.0,-4914064.0,-0.06,-0.06,0.0,43067538.0,33301002.0,3387072.0,6791800.0,36126962.0,-8826531.0,6496162.0,1295620.0
CUTR,2011-06-30,False,Q2,2011,10-Q,14895000.0,-2863000.0,-2456000.0,-0.18,-0.18,0.0,110230000.0,104682000.0,14563000.0,17483000.0,92820000.0,-2272000.0,6355000.0,881000.0
CUTR,2011-09-30,False,Q3,2011,10-Q,15232000.0,-2628000.0,-2863000.0,-0.21,-0.21,0.0,108966000.0,103978000.0,14937000.0,13874000.0,91333000.0,-5753000.0,6042000.0,1066000.0
